County,FIPS,Age,Total,Total_Male,Total_Female,NH_White_Total,NH_White_Male,NH_White_Female,NH_Black_Total,NH_Black_Male,NH_Black_Female,NH_Asian_Total,NH_Asian_Male,NH_Asian_Female,NH_Other_Total,NH_Other_Male,NH_Other_Female,Hispanic_Total,Hispanic_Male,Hispanic_Female
MENARD COUNTY,327,All Ages,2128,1068,1060,1189,577,612,11,8,3,3,1,2,12,4,8,913,478,435
MIDLAND COUNTY,329,All Ages,176814,90722,86092,75924,38340,37584,10680,5570,5110,3258,1698,1560,3199,1654,1545,83753,43460,40293
MILAM COUNTY,331,All Ages,25185,12507,12678,15125,7447,7678,2218,1032,1186,114,56,58,418,224,194,7310,3748,3562
MILLS COUNTY,333,All Ages,4899,2415,2484,3791,1829,1962,27,12,15,7,1,6,67,37,30,1007,536,471
MITCHELL COUNTY,335,All Ages,8531,5083,3448,4112,2174,1938,911,795,116,27,16,11,110,58,52,3371,2040,1331
MONTAGUE COUNTY,337,All Ages,19695,9729,9966,16838,8306,8532,68,42,26,65,23,42,411,197,214,2313,1161,1152
MONTGOMERY COUNTY,339,All Ages,604391,299016,305375,391774,193164,198610,29470,14553,14917,17830,8144,9686,13438,6494,6944,151879,76661,75218
MOORE COUNTY,341,All Ages,21046,10819,10227,6595,3266,3329,453,288,165,2042,1006,1036,395,240,155,11561,6019,5542
MORRIS COUNTY,343,All Ages,12428,6079,6349,8012,3843,4169,2719,1352,1367,43,23,20,433,231,202,1221,630,591
MOTLEY COUNTY,345,All Ages,1205,607,598,979,482,497,25,15,10,0,0,0,10,5,5,191,105,86
NACOGDOCHES COUNTY,347,All Ages,65027,31341,33686,38454,18694,19760,11278,5069,6209,1012,435,577,1571,777,794,12712,6366,6346
NAVARRO COUNTY,349,All Ages,52013,25492,26521,29444,14436,15008,6628,3091,3537,290,121,169,1576,794,782,14075,7050,7025
